closed_by,assigned_to,opened_at,caller_id,sys_updated_by,number,sys_updated_on,closed_at,state,short_description,assignment_group,priority,category
Luke Wilson,Charlie Whitherspoon,2023-07-26 17:35:00,David Loo,admin,INC0000000250,2023-08-01 09:45:44.950676000,2023-08-01 09:45:44.950676000,Resolved,Email system delays causing business impact,Service Desk,1 - Critical,Software
Fred Luddy,Beth Anglin,2023-07-27 12:45:00,ITIL User,system,INC0000000251,2023-08-08 15:18:35.193639644,2023-08-08 15:18:35.193639644,Resolved,Email system connectivity issue reported by user,Service Desk,2 - High,Network
Beth Anglin,Luke Wilson,2023-07-27 17:56:00,ITIL User,system,INC0000000252,2023-08-12 04:08:05.448517164,2023-08-12 04:08:05.448517164,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Beth Anglin,2023-07-28 02:56:00,ITIL User,system,INC0000000253,2023-07-25 02:22:19.322767810,2023-07-25 02:22:19.322767810,Resolved,Email system access issue reported,Service Desk,2 - High,Software
Fred Luddy,Luke Wilson,2023-07-28 05:19:00,Don Goodliffe,admin,INC0000000254,2023-07-30 20:59:44.134054967,2023-07-30 20:59:44.134054967,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Luke Wilson,2023-07-28 19:07:00,Bud Richman,admin,INC0000000255,2023-08-11 07:44:55.471144258,2023-08-11 07:44:55.471144258,Resolved,Email server response delays impacting workflow,Network,2 - High,Network
Howard Johnson,Beth Anglin,2023-07-28 20:36:00,Bud Richman,system,INC0000000256,2023-08-04 05:08:56.764141890,2023-08-04 05:08:56.764141890,Resolved,Email server downtime reported,Network,1 - Critical,Network
Fred Luddy,Fred Luddy,2023-07-29 04:24:00,Don Goodliffe,system,INC0000000257,2023-08-16 13:59:59.999999999,2023-08-16 13:59:59.999999999,Closed,Email system downtime reported by several users,Service Desk,2 - High,Software
Beth Anglin,Beth Anglin,2023-07-31 07:04:00,Don Goodliffe,employee,INC0000000258,2023-08-05 16:41:22.794435192,2023-08-05 16:41:22.794435192,Closed,Email system down for multiple users,Service Desk,1 - Critical,Software
Fred Luddy,Luke Wilson,2023-08-01 19:14:00,Bud Richman,admin,INC0000000259,2023-08-14 14:31:30.516252506,2023-08-14 14:31:30.516252506,Closed,Email system outage reported by several users,Service Desk,1 - Critical,Network
Beth Anglin,Luke Wilson,2023-08-02 11:55:00,David Loo,employee,INC0000000260,2023-08-11 18:22:22.750996539,2023-08-11 18:22:22.750996539,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Howard Johnson,Fred Luddy,2023-08-02 13:55:00,ITIL User,system,INC0000000261,2023-08-22 04:19:00.000000000,2023-08-22 04:19:00.000000000,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Luke Wilson,2023-08-03 16:03:00,Bud Richman,employee,INC0000000262,2023-08-06 09:15:32.481361242,2023-08-06 09:15:32.481361242,Closed,Email system outage reported by several users,Service Desk,1 - Critical,Software
Fred Luddy,Howard Johnson,2023-08-03 22:27:00,Bud Richman,admin,INC0000000263,2023-08-07 12:49:04.580348817,2023-08-07 12:49:04.580348817,Resolved,Intermittent database connectivity issues,Database,2 - High,Database
Luke Wilson,Howard Johnson,2023-08-04 21:08:00,ITIL User,system,INC0000000264,2023-08-08 16:29:04.413927624,2023-08-08 16:29:04.413927624,Resolved,Email system connectivity issue reported,Network,2 - High,Network
Beth Anglin,Fred Luddy,2023-08-05 06:29:00,David Loo,system,INC0000000265,2023-08-25 18:29:00.000000000,2023-08-25 18:29:00.000000000,Closed,Email system outage affecting multiple departments,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Charlie Whitherspoon,2023-08-05 09:17:00,Don Goodliffe,admin,INC0000000266,2023-08-03 10:13:24.668469746,2023-08-03 10:13:24.668469746,Closed,Email system outage reported by several users,Service Desk,1 - Critical,Software
Fred Luddy,Beth Anglin,2023-08-05 09:46:00,Don Goodliffe,system,INC0000000267,2023-08-18 03:37:48.279535596,2023-08-18 03:37:48.279535596,Closed,Email cannot receive external messages,Service Desk,2 - High,Network
Beth Anglin,Beth Anglin,2023-08-05 10:59:00,David Loo,admin,INC0000000268,2023-08-07 06:59:26.392716368,2023-08-07 06:59:26.392716368,Resolved,Issue with database access permissions,Database,3 - Moderate,Database
Fred Luddy,Howard Johnson,2023-08-07 12:20:00,Don Goodliffe,system,INC0000000269,2023-08-17 07:48:13.282774078,2023-08-17 07:48:13.282774078,Closed,Email system delays causing workflow issues,Service Desk,2 - High,Software
Luke Wilson,Beth Anglin,2023-08-07 14:04:00,Bud Richman,admin,INC0000000270,2023-08-11 00:45:28.228800323,2023-08-11 00:45:28.228800323,Closed,Unable to access VPN services,Network,2 - High,Network
Charlie Whitherspoon,Howard Johnson,2023-08-07 22:51:00,David Loo,system,INC0000000271,2023-08-08 17:14:56.554735840,2023-08-08 17:14:56.554735840,Resolved,Email system downtime impacting team communications,Service Desk,2 - High,Network
Howard Johnson,Beth Anglin,2023-08-09 00:48:00,David Loo,admin,INC0000000272,2023-08-16 13:11:15.176377779,2023-08-16 13:11:15.176377779,Closed,Email system downtime reported,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-08-09 22:09:00,David Loo,employee,INC0000000273,2023-08-19 06:29:56.536603982,2023-08-19 06:29:56.536603982,Resolved,Email system downtime affecting entire department,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Howard Johnson,2023-08-10 07:23:00,Don Goodliffe,admin,INC0000000274,2023-08-21 15:11:22.757190791,2023-08-21 15:11:22.757190791,Resolved,Email service downtime,Service Desk,2 - High,Software
Howard Johnson,Beth Anglin,2023-08-10 16:28:00,Don Goodliffe,system,INC0000000275,2023-08-14 21:09:50.550407045,2023-08-14 21:09:50.550407045,Resolved,Email server outage impacting communication,Network,1 - Critical,Network
Fred Luddy,Beth Anglin,2023-08-12 11:00:00,Bud Richman,admin,INC0000000276,2023-08-21 12:02:44.947469403,2023-08-21 12:02:44.947469403,Resolved,Email client crashing repeatedly,Software,2 - High,Software
Howard Johnson,Fred Luddy,2023-08-13 02:06:00,David Loo,employee,INC0000000277,2023-09-04 23:41:59.999999999,2023-09-04 23:41:59.999999999,Resolved,Email server outage reported by several users,Network,1 - Critical,Network
Howard Johnson,Charlie Whitherspoon,2023-08-13 13:31:00,Bud Richman,employee,INC0000000278,2023-08-19 01:14:39.485967148,2023-08-19 01:14:39.485967148,Resolved,Email server connectivity issues reported by multiple users,Network,2 - High,Network
Luke Wilson,Beth Anglin,2023-08-13 22:59:00,Bud Richman,system,INC0000000279,2023-08-05 15:24:57.299311643,2023-08-05 15:24:57.299311643,Resolved,Email system downtime reported by multiple users,Service Desk,2 - High,Software
Charlie Whitherspoon,Howard Johnson,2023-08-14 18:20:00,Don Goodliffe,system,INC0000000280,2023-08-25 13:57:57.221740608,2023-08-25 13:57:57.221740608,Closed,Email system downtime reported,Service Desk,1 - Critical,Network
Luke Wilson,Charlie Whitherspoon,2023-08-15 20:58:00,Don Goodliffe,system,INC0000000281,2023-08-20 10:29:32.013725283,2023-08-20 10:29:32.013725283,Resolved,Email system access issue reported,Service Desk,3 - Moderate,Software
Fred Luddy,Luke Wilson,2023-08-15 23:15:00,David Loo,admin,INC0000000282,2023-08-21 07:19:20.395620922,2023-08-21 07:19:20.395620922,Resolved,Email client not syncing with server,Service Desk,2 - High,Software
Beth Anglin,Howard Johnson,2023-08-16 02:13:00,Bud Richman,admin,INC0000000283,2023-08-12 08:37:09.264801701,2023-08-12 08:37:09.264801701,Closed,Email system latency issues reported by multiple users,Service Desk,2 - High,Network
Beth Anglin,Beth Anglin,2023-08-19 03:36:00,Bud Richman,system,INC0000000284,2023-08-16 17:41:05.723831179,2023-08-16 17:41:05.723831179,Closed,Email system response delays encountered by multiple users,Service Desk,2 - High,Software
Fred Luddy,Luke Wilson,2023-08-19 03:53:00,ITIL User,employee,INC0000000285,2023-08-20 04:44:08.283912701,2023-08-20 04:44:08.283912701,Closed,Cannot connect to Wi-Fi network in meeting room,Network,2 - High,Network
Beth Anglin,Luke Wilson,2023-08-19 18:03:00,Don Goodliffe,admin,INC0000000286,2023-08-20 16:32:15.897714247,2023-08-20 16:32:15.897714247,Closed,Email system response delay,Service Desk,2 - High,Software
Fred Luddy,Charlie Whitherspoon,2023-08-20 00:48:00,ITIL User,system,INC0000000287,2023-08-29 01:43:26.168070759,2023-08-29 01:43:26.168070759,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Fred Luddy,2023-08-20 23:14:00,David Loo,employee,INC0000000288,2023-09-14 23:14:00.000000000,2023-09-14 23:14:00.000000000,Resolved,Email system outage reported by user department,Service Desk,1 - Critical,Software
Howard Johnson,Howard Johnson,2023-08-21 20:18:00,Don Goodliffe,system,INC0000000289,2023-08-24 05:16:47.496966255,2023-08-24 05:16:47.496966255,Closed,Email server outage,Network,1 - Critical,Network
Luke Wilson,Luke Wilson,2023-08-22 01:46:00,ITIL User,system,INC0000000290,2023-08-28 15:12:25.353375318,2023-08-28 15:12:25.353375318,Resolved,Email system downtime reported by multiple users,Service Desk,2 - High,Software
Fred Luddy,Charlie Whitherspoon,2023-08-23 04:18:00,Don Goodliffe,employee,INC0000000291,2023-08-10 02:36:14.526889073,2023-08-10 02:36:14.526889073,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Luke Wilson,2023-08-25 09:56:00,ITIL User,admin,INC0000000292,2023-08-22 14:01:30.406163452,2023-08-22 14:01:30.406163452,Resolved,Email system not responding,Service Desk,1 - Critical,Software
Luke Wilson,Luke Wilson,2023-08-25 12:12:00,David Loo,admin,INC0000000293,2023-08-27 18:09:51.743375218,2023-08-27 18:09:51.743375218,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Luke Wilson,2023-08-26 12:02:00,Don Goodliffe,employee,INC0000000294,2023-09-06 08:08:12.425031405,2023-09-06 08:08:12.425031405,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Beth Anglin,2023-08-29 00:39:00,David Loo,system,INC0000000295,2023-09-02 15:01:06.622834279,2023-09-02 15:01:06.622834279,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Howard Johnson,2023-08-30 19:38:00,Don Goodliffe,admin,INC0000000296,2023-09-08 14:18:47.879882291,2023-09-08 14:18:47.879882291,Resolved,Email system response delay impacting workflow,Service Desk,2 - High,Software
Charlie Whitherspoon,Howard Johnson,2023-08-31 12:42:00,Don Goodliffe,system,INC0000000297,2023-09-02 13:42:31.848569164,2023-09-02 13:42:31.848569164,Resolved,Email server response time is slow,Network,2 - High,Network
Beth Anglin,Fred Luddy,2023-09-01 08:07:00,ITIL User,admin,INC0000000298,2023-09-29 22:31:00.000000000,2023-09-29 22:31:00.000000000,Closed,Email system downtime impacting workflow,Service Desk,2 - High,Software
Fred Luddy,Luke Wilson,2023-09-01 16:50:00,Don Goodliffe,employee,INC0000000299,2023-09-01 03:25:26.779346430,2023-09-01 03:25:26.779346430,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Howard Johnson,Howard Johnson,2023-09-01 21:15:00,David Loo,system,INC0000000300,2023-09-03 01:07:00.280168520,2023-09-03 01:07:00.280168520,Closed,Email system connectivity issue,Network,2 - High,Network
Luke Wilson,Howard Johnson,2023-09-03 06:28:00,ITIL User,admin,INC0000000301,2023-09-10 11:59:49.227485160,2023-09-10 11:59:49.227485160,Closed,Email system outage reported by several users,Service Desk,1 - Critical,Software
Fred Luddy,Charlie Whitherspoon,2023-09-03 11:35:00,David Loo,admin,INC0000000302,2023-09-13 06:30:58.806144148,2023-09-13 06:30:58.806144148,Resolved,Email system downtime reported,Service Desk,1 - Critical,Software
Luke Wilson,Luke Wilson,2023-09-04 11:44:00,Bud Richman,system,INC0000000303,2023-09-13 19:39:21.128491632,2023-09-13 19:39:21.128491632,Resolved,Email system not responding,Service Desk,2 - High,Software
Luke Wilson,Howard Johnson,2023-09-07 12:30:00,David Loo,system,INC0000000304,2023-09-03 00:32:40.193878282,2023-09-03 00:32:40.193878282,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Charlie Whitherspoon,2023-09-07 17:46:00,Don Goodliffe,system,INC0000000305,2023-09-09 08:52:43.810050955,2023-09-09 08:52:43.810050955,Closed,Email system down for several users,Service Desk,2 - High,Software
Fred Luddy,Charlie Whitherspoon,2023-09-08 09:53:00,Don Goodliffe,employee,INC0000000306,2023-09-12 00:37:04.769788341,2023-09-12 00:37:04.769788341,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Beth Anglin,2023-09-08 15:23:00,ITIL User,admin,INC0000000307,2023-09-20 05:32:59.418742956,2023-09-20 05:32:59.418742956,Resolved,Email system outage affecting whole department,Service Desk,1 - Critical,Network
Beth Anglin,Beth Anglin,2023-09-09 03:39:00,Bud Richman,employee,INC0000000308,2023-09-16 13:42:39.956595383,2023-09-16 13:42:39.956595383,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Beth Anglin,2023-09-10 17:45:00,Don Goodliffe,system,INC0000000309,2023-09-18 13:38:41.103379510,2023-09-18 13:38:41.103379510,Closed,Email server not responding,Network,2 - High,Network
Howard Johnson,Beth Anglin,2023-09-11 18:39:00,Don Goodliffe,admin,INC0000000310,2023-09-20 08:25:55.324305167,2023-09-20 08:25:55.324305167,Closed,Email system response is delayed,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-09-11 20:42:00,ITIL User,admin,INC0000000311,2023-09-22 02:06:19.414358188,2023-09-22 02:06:19.414358188,Closed,Email server response delays impacting workflow,Service Desk,2 - High,Network
Howard Johnson,Beth Anglin,2023-09-12 06:26:00,ITIL User,system,INC0000000312,2023-09-20 17:16:17.947773949,2023-09-20 17:16:17.947773949,Resolved,Network latency issues affecting daily operations,Network,2 - High,Network
Beth Anglin,Luke Wilson,2023-09-12 15:16:00,ITIL User,system,INC0000000313,2023-09-23 23:19:29.384836791,2023-09-23 23:19:29.384836791,Resolved,Email application crashes intermittently,Software,2 - High,Software
Beth Anglin,Charlie Whitherspoon,2023-09-12 21:01:00,Bud Richman,employee,INC0000000314,2023-09-16 20:01:29.725001714,2023-09-16 20:01:29.725001714,Closed,Email system downtime reported by multiple users,Service Desk,2 - High,Software
Fred Luddy,Beth Anglin,2023-09-13 15:59:00,ITIL User,admin,INC0000000315,2023-09-15 13:14:33.197752687,2023-09-15 13:14:33.197752687,Resolved,Email system response delay,Service Desk,2 - High,Software
Charlie Whitherspoon,Luke Wilson,2023-09-13 22:00:00,ITIL User,employee,INC0000000316,2023-09-23 12:40:56.974605324,2023-09-23 12:40:56.974605324,Closed,Email system lagging severely during peak hours,Service Desk,2 - High,Software
Luke Wilson,Howard Johnson,2023-09-14 18:58:00,ITIL User,system,INC0000000317,2023-09-17 07:00:09.111012027,2023-09-17 07:00:09.111012027,Closed,Email server downtime affecting entire department,Service Desk,1 - Critical,Network
Howard Johnson,Howard Johnson,2023-09-14 22:51:00,Bud Richman,admin,INC0000000318,2023-09-17 03:04:12.138351391,2023-09-17 03:04:12.138351391,Resolved,Email system is running slow,Service Desk,2 - High,Software
Beth Anglin,Beth Anglin,2023-09-16 06:48:00,Bud Richman,employee,INC0000000319,2023-09-20 23:29:37.556280066,2023-09-20 23:29:37.556280066,Resolved,Email server downtime impacting communication,Network,2 - High,Network
Beth Anglin,Beth Anglin,2023-09-17 06:31:00,Don Goodliffe,admin,INC0000000320,2023-09-16 01:35:55.055916886,2023-09-16 01:35:55.055916886,Closed,Email service disruption reported,Service Desk,2 - High,Network
Howard Johnson,Fred Luddy,2023-09-17 11:19:00,Bud Richman,admin,INC0000000321,2023-10-20 20:54:59.999999999,2023-10-20 20:54:59.999999999,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Luke Wilson,2023-09-19 10:12:00,Bud Richman,system,INC0000000322,2023-09-19 07:46:28.060961797,2023-09-19 07:46:28.060961797,Closed,Email system response delays,Service Desk,2 - High,Software
Luke Wilson,Charlie Whitherspoon,2023-09-20 04:01:00,Bud Richman,employee,INC0000000323,2023-10-01 07:47:09.105737738,2023-10-01 07:47:09.105737738,Closed,Email server response is delayed,Network,2 - High,Network
Luke Wilson,Luke Wilson,2023-09-20 09:27:00,David Loo,admin,INC0000000324,2023-09-14 21:05:02.834637405,2023-09-14 21:05:02.834637405,Resolved,Email system outage impacting multiple users,Network,1 - Critical,Network
Charlie Whitherspoon,Howard Johnson,2023-09-20 15:17:00,ITIL User,system,INC0000000325,2023-09-25 12:17:35.438449440,2023-09-25 12:17:35.438449440,Resolved,Email system not sending messages,Service Desk,2 - High,Software
Luke Wilson,Beth Anglin,2023-09-20 22:39:00,Don Goodliffe,admin,INC0000000326,2023-09-22 12:22:40.894013936,2023-09-22 12:22:40.894013936,Closed,Email server downtime impacting operations,Service Desk,1 - Critical,Network
Luke Wilson,Howard Johnson,2023-09-21 03:46:00,David Loo,employee,INC0000000327,2023-10-05 22:54:44.209476018,2023-10-05 22:54:44.209476018,Closed,Email client crashes on opening,Software,2 - High,Software
Fred Luddy,Luke Wilson,2023-09-21 17:27:00,Bud Richman,employee,INC0000000328,2023-09-20 04:52:48.395266005,2023-09-20 04:52:48.395266005,Resolved,Email client not receiving messages,Service Desk,2 - High,Software
Fred Luddy,Luke Wilson,2023-09-22 15:57:00,Don Goodliffe,admin,INC0000000329,2023-09-22 02:21:52.362602924,2023-09-22 02:21:52.362602924,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Charlie Whitherspoon,Charlie Whitherspoon,2023-09-22 23:25:00,Bud Richman,employee,INC0000000330,2023-10-04 16:46:01.930355473,2023-10-04 16:46:01.930355473,Closed,Email system intermittently down,Service Desk,2 - High,Network
Charlie Whitherspoon,Charlie Whitherspoon,2023-09-23 03:07:00,Don Goodliffe,admin,INC0000000331,2023-09-30 14:05:42.322414454,2023-09-30 14:05:42.322414454,Resolved,Email system response delays impacting productivity,Service Desk,2 - High,Software
Luke Wilson,Fred Luddy,2023-09-23 16:37:00,Don Goodliffe,employee,INC0000000332,2023-10-28 21:25:00.000000000,2023-10-28 21:25:00.000000000,Resolved,User cannot connect to corporate VPN,Network,2 - High,Network
Howard Johnson,Charlie Whitherspoon,2023-09-24 05:09:00,ITIL User,employee,INC0000000333,2023-09-20 07:24:29.707619359,2023-09-20 07:24:29.707619359,Resolved,Email system login issue reported by several users,Service Desk,2 - High,Software
Charlie Whitherspoon,Beth Anglin,2023-09-24 12:20:00,Bud Richman,system,INC0000000334,2023-10-05 09:18:40.542527542,2023-10-05 09:18:40.542527542,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Charlie Whitherspoon,2023-09-25 20:34:00,ITIL User,system,INC0000000335,2023-10-01 04:53:59.032015444,2023-10-01 04:53:59.032015444,Closed,Email system latency issues reported by multiple users,Service Desk,2 - High,Software
Charlie Whitherspoon,Charlie Whitherspoon,2023-09-27 00:01:00,ITIL User,admin,INC0000000336,2023-10-01 07:48:59.179147673,2023-10-01 07:48:59.179147673,Resolved,Email system outage impacting entire department,Service Desk,1 - Critical,Software
Charlie Whitherspoon,Charlie Whitherspoon,2023-09-27 16:25:00,David Loo,system,INC0000000337,2023-10-08 14:39:18.592977701,2023-10-08 14:39:18.592977701,Closed,Email system outage reported,Service Desk,1 - Critical,Software
Charlie Whitherspoon,Fred Luddy,2023-09-27 17:58:00,ITIL User,system,INC0000000338,2023-11-03 03:33:59.999999999,2023-11-03 03:33:59.999999999,Resolved,Email system response delays,Service Desk,2 - High,Software
Howard Johnson,Beth Anglin,2023-09-27 18:11:00,David Loo,admin,INC0000000339,2023-09-30 10:56:26.439335876,2023-09-30 10:56:26.439335876,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Fred Luddy,2023-09-27 18:37:00,ITIL User,admin,INC0000000340,2023-11-03 04:12:59.999999999,2023-11-03 04:12:59.999999999,Resolved,Email server outage impacting multiple departments,Network,1 - Critical,Network
Fred Luddy,Fred Luddy,2023-09-27 21:28:00,Bud Richman,system,INC0000000341,2023-11-03 07:03:59.999999999,2023-11-03 07:03:59.999999999,Resolved,Email system performance issues,Service Desk,2 - High,Software
Charlie Whitherspoon,Beth Anglin,2023-09-28 04:58:00,David Loo,employee,INC0000000342,2023-10-02 18:41:31.320834406,2023-10-02 18:41:31.320834406,Resolved,Email system outage impacting team communications,Service Desk,1 - Critical,Software
Beth Anglin,Fred Luddy,2023-09-28 15:34:00,David Loo,employee,INC0000000343,2023-11-04 08:22:00.000000000,2023-11-04 08:22:00.000000000,Resolved,Email system inaccessible for multiple users,Service Desk,2 - High,Software
Fred Luddy,Howard Johnson,2023-09-29 17:33:00,Bud Richman,system,INC0000000344,2023-10-01 14:34:10.869531675,2023-10-01 14:34:10.869531675,Resolved,Email system is not responding,Service Desk,1 - Critical,Software
Beth Anglin,Luke Wilson,2023-09-30 10:43:00,ITIL User,system,INC0000000345,2023-10-06 01:53:58.726639368,2023-10-06 01:53:58.726639368,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Beth Anglin,2023-09-30 16:38:00,ITIL User,system,INC0000000346,2023-10-02 17:26:11.113398502,2023-10-02 17:26:11.113398502,Closed,Email system lagging significantly,Service Desk,2 - High,Software
Charlie Whitherspoon,Howard Johnson,2023-09-30 18:41:00,ITIL User,system,INC0000000347,2023-10-01 09:27:39.295937380,2023-10-01 09:27:39.295937380,Closed,"Email system down, urgent fix needed",Network,1 - Critical,Network
Fred Luddy,Howard Johnson,2023-10-01 10:27:00,Bud Richman,employee,INC0000000348,2023-10-10 21:00:10.874158908,2023-10-10 21:00:10.874158908,Resolved,Email system not responding,Service Desk,1 - Critical,Software
Fred Luddy,Fred Luddy,2023-10-02 04:41:00,David Loo,employee,INC0000000349,2023-11-09 02:16:59.999999999,2023-11-09 02:16:59.999999999,Resolved,Email system downtime reported by multiple users,Service Desk,2 - High,Software
Howard Johnson,Luke Wilson,2023-10-03 00:14:00,Don Goodliffe,employee,INC0000000350,2023-10-11 13:18:13.111227105,2023-10-11 13:18:13.111227105,Closed,Email system downtime impacting client communications,Service Desk,2 - High,Software
Luke Wilson,Beth Anglin,2023-10-03 05:12:00,David Loo,admin,INC0000000351,2023-10-02 15:23:35.728219571,2023-10-02 15:23:35.728219571,Resolved,Email server down affecting all outbound communications,Network,1 - Critical,Network
Fred Luddy,Luke Wilson,2023-10-03 07:36:00,ITIL User,system,INC0000000352,2023-10-10 10:19:04.734013174,2023-10-10 10:19:04.734013174,Resolved,Email system downtime reported by multiple users,Service Desk,2 - High,Network
Beth Anglin,Luke Wilson,2023-10-03 10:52:00,David Loo,system,INC0000000353,2023-10-11 15:02:11.946436161,2023-10-11 15:02:11.946436161,Closed,Email server downtime impacting operations,Service Desk,1 - Critical,Network
Beth Anglin,Luke Wilson,2023-10-04 22:10:00,ITIL User,admin,INC0000000354,2023-10-13 04:44:43.050463282,2023-10-13 04:44:43.050463282,Closed,Email system delays reported by multiple users,Service Desk,2 - High,Software
Howard Johnson,Luke Wilson,2023-10-05 06:40:00,ITIL User,admin,INC0000000355,2023-10-10 07:31:38.659699021,2023-10-10 07:31:38.659699021,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Luke Wilson,Howard Johnson,2023-10-07 13:26:00,Don Goodliffe,system,INC0000000356,2023-10-10 16:29:16.248841644,2023-10-10 16:29:16.248841644,Resolved,Email server down since morning,Network,1 - Critical,Network
Charlie Whitherspoon,Howard Johnson,2023-10-08 08:37:00,ITIL User,employee,INC0000000357,2023-10-20 03:18:18.093326238,2023-10-20 03:18:18.093326238,Resolved,Email system access issue reported by user,Service Desk,2 - High,Software
Howard Johnson,Luke Wilson,2023-10-09 13:23:00,Bud Richman,system,INC0000000358,2023-10-12 07:46:14.893705646,2023-10-12 07:46:14.893705646,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Howard Johnson,2023-10-09 19:30:00,Don Goodliffe,system,INC0000000359,2023-10-23 04:15:33.372062613,2023-10-23 04:15:33.372062613,Resolved,Email system access issue reported by user,Service Desk,2 - High,Inquiry / Help
Fred Luddy,Charlie Whitherspoon,2023-10-11 19:22:00,Bud Richman,employee,INC0000000360,2023-10-26 23:35:49.164290158,2023-10-26 23:35:49.164290158,Resolved,Email server outage impacting team communication,Network,1 - Critical,Network
Howard Johnson,Howard Johnson,2023-10-12 04:37:00,David Loo,admin,INC0000000361,2023-10-23 15:15:31.186979699,2023-10-23 15:15:31.186979699,Resolved,Intermittent network outage observed in building 12,Network,2 - High,Network
Fred Luddy,Fred Luddy,2023-10-12 19:40:00,David Loo,admin,INC0000000362,2023-11-22 17:15:59.999999999,2023-11-22 17:15:59.999999999,Resolved,Email system downtime reported,Service Desk,1 - Critical,Software
Luke Wilson,Luke Wilson,2023-10-14 15:57:00,David Loo,employee,INC0000000363,2023-10-07 12:26:00.229520999,2023-10-07 12:26:00.229520999,Resolved,Email system downtime reported,Service Desk,1 - Critical,Software
Howard Johnson,Luke Wilson,2023-10-15 10:16:00,Don Goodliffe,admin,INC0000000364,2023-10-25 10:33:30.224899069,2023-10-25 10:33:30.224899069,Resolved,Email system access issue reported by user,Service Desk,2 - High,Software
Fred Luddy,Beth Anglin,2023-10-15 16:43:00,Don Goodliffe,employee,INC0000000365,2023-10-15 11:16:48.081693139,2023-10-15 11:16:48.081693139,Closed,Email system downtime reported by several staff members,Service Desk,2 - High,Software
Charlie Whitherspoon,Luke Wilson,2023-10-17 05:07:00,Bud Richman,admin,INC0000000366,2023-10-26 04:01:52.997097398,2023-10-26 04:01:52.997097398,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Software
Howard Johnson,Charlie Whitherspoon,2023-10-17 08:48:00,Bud Richman,admin,INC0000000367,2023-10-24 18:56:57.504165495,2023-10-24 18:56:57.504165495,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Beth Anglin,2023-10-17 15:54:00,ITIL User,admin,INC0000000368,2023-10-17 16:15:36.877610248,2023-10-17 16:15:36.877610248,Resolved,Email system login issues,Service Desk,2 - High,Software
Beth Anglin,Charlie Whitherspoon,2023-10-18 08:32:00,David Loo,admin,INC0000000369,2023-10-27 04:45:17.537819304,2023-10-27 04:45:17.537819304,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Beth Anglin,Luke Wilson,2023-10-20 19:30:00,David Loo,employee,INC0000000370,2023-10-14 19:04:40.361249606,2023-10-14 19:04:40.361249606,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Luke Wilson,Charlie Whitherspoon,2023-10-21 01:07:00,Don Goodliffe,system,INC0000000371,2023-10-23 01:20:41.502294294,2023-10-23 01:20:41.502294294,Closed,Email system connectivity issue reported by several users,Service Desk,2 - High,Network
Fred Luddy,Luke Wilson,2023-10-21 08:59:00,ITIL User,system,INC0000000372,2023-11-03 10:50:10.395732128,2023-11-03 10:50:10.395732128,Closed,Email system access issue reported by user,Service Desk,2 - High,Software
Beth Anglin,Charlie Whitherspoon,2023-10-22 14:18:00,Don Goodliffe,system,INC0000000373,2023-10-26 06:23:22.718726905,2023-10-26 06:23:22.718726905,Closed,Email system downtime,Service Desk,1 - Critical,Network
Fred Luddy,Beth Anglin,2023-10-23 08:37:00,Bud Richman,admin,INC0000000374,2023-10-29 23:49:06.003779993,2023-10-29 23:49:06.003779993,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
